Loc Abbr,Loc Desc,Heart Disease Mortality per 100k,Gender,Race/Ethnicity
AK,Wade Hampton,,Male,White
AK,Wrangell-Petersburg,,Male,White
AK,Yakutat,,Male,White
AK,Yukon-Koyukuk,367.3,Male,White
AK,Aleutians East,,Female,White
AK,Aleutians West,,Female,White
AK,Anchorage,197.6,Female,White
AK,Bethel,209.1,Female,White
AK,Bristol Bay,,Female,White
AK,Denali,214.8,Female,White
AK,Dillingham,,Female,White
AK,Fairbanks North Star,214.9,Female,White
AK,Haines,223.6,Female,White
AK,Juneau,223.6,Female,White
AK,Kenai Peninsula,207,Female,White
AK,Ketchikan Gateway,161.2,Female,White
AK,Kodiak Island,192.8,Female,White
AK,Lake and Peninsula,215.8,Female,White
AK,Matanuska-Susitna,198.9,Female,White
AK,Nome,,Female,White
AK,North Slope,,Female,White
AK,Northwest Arctic,,Female,White
AK,Prince of Wales-Outer Ketchikan,,Female,White
AK,Sitka,183.2,Female,White
AK,Skagway-Hoonah-Angoon,,Female,White
AK,Southeast Fairbanks,204.5,Female,White
AK,Valdez-Cordova,202.5,Female,White
AK,Wade Hampton,,Female,White
AK,Wrangell-Petersburg,,Female,White
AK,Yakutat,,Female,White
AK,Yukon-Koyukuk,203.1,Female,White
AK,Aleutians East,,Overall,Black
AK,Aleutians West,,Overall,Black
AK,Anchorage,220.4,Overall,Black
AK,Bethel,,Overall,Black
AK,Bristol Bay,,Overall,Black
AK,Denali,,Overall,Black
AK,Dillingham,,Overall,Black
AK,Fairbanks North Star,414.6,Overall,Black
AK,Haines,,Overall,Black
AK,Juneau,,Overall,Black
AK,Kenai Peninsula,216.6,Overall,Black
AK,Ketchikan Gateway,,Overall,Black
AK,Kodiak Island,,Overall,Black
AK,Lake and Peninsula,,Overall,Black
AK,Matanuska-Susitna,216.5,Overall,Black
AK,Nome,,Overall,Black
AK,North Slope,,Overall,Black
AK,Northwest Arctic,,Overall,Black
AK,Prince of Wales-Outer Ketchikan,,Overall,Black
AK,Sitka,,Overall,Black
AK,Skagway-Hoonah-Angoon,,Overall,Black
AK,Southeast Fairbanks,,Overall,Black
AK,Valdez-Cordova,,Overall,Black
AK,Wade Hampton,,Overall,Black
AK,Wrangell-Petersburg,,Overall,Black
AK,Yakutat,,Overall,Black
AK,Yukon-Koyukuk,,Overall,Black
AK,Aleutians East,,Male,Black
AK,Aleutians West,,Male,Black
AK,Anchorage,301.6,Male,Black
AK,Bethel,,Male,Black
AK,Bristol Bay,,Male,Black
AK,Denali,,Male,Black
AK,Dillingham,,Male,Black
AK,Fairbanks North Star,,Male,Black
AK,Haines,,Male,Black
AK,Juneau,,Male,Black
AK,Kenai Peninsula,295.3,Male,Black
AK,Ketchikan Gateway,,Male,Black
